" país"," ciudad","código"," nombre"
"Nicaragua","Managua","MGA","Int. Augusto Sandino"
"Nigeria","Lagos","L0S","Murtala Muhammed"
"Noruega","Bergen","BGO","Flesland"
"Noruega","Oslo","FBU","Fornebu"
"Noruega","Oslo","GEN","Gardermoen"
"Nva. Zelanda","Auckland","AKL","International"
"Pakistán","Karachi","KHI","Quaid - E - Azam"
"Panamá","Panamá","PTY","Tocumen Intl."
"Paraguay","Asunción","ASU","Silvio Pettirossi"
"Perú","Iquitos","IQT","Fco. Secada"
"Perú","Lima","LIM","Jorge Chavez Int."
"Perú","Piura","PIU","Piura"
"Polinesia Fr.","Papete","PPT","Faaa"
"Polonia","Varsovia","WAW","Okecie"
"Portugal","Lisboa","LIS","Lisboa"
"Portugal","Oporto","OPO","Porto"
"Puerto Rico","San Juan","SJU","L. Muñóz Marín Int."
"Puerto Rico","San Juan","SIG","Isla Grande"
"Rep. Checa","Praga","PRG","Ruzyne"
"Rep. Dominicana","Sto. Domingo","SDQ","Las Américas"
"Rumania","Bucarest","BBU","Baneasa"
"Rumania","Bucarest","OTP","Otopeni"
"Senegal","Dakar","DKR","Yoff"
"Singapur","Singapur","SIN","Changi"
"Sudáfrica","Ciudad del Cabo","CPT","Capetown Int."
"Sudáfrica","Johannesburgo","JNB","Johannesburg Int."
"Suecia","Estocolmo","ARN","Arlanda"
"Suecia","Estocolmo","BMA","Bromma"
"Suiza","Basilea","BSL","Basel"
"Suiza","Ginebra","GVA","Geneva/Cointrin"
"Suiza","Zurich","ZRH","Zurich"
"Surinam","Paramaribo","PMB","Zanderij"
"Taiwan","Taipei","TPE","Chiang Kai Shek Int."
"Tailandia","Bangkok","BKK","International"
"Trinidad","Puerto España","POS","Piarco"
"Turquía","Estambul","IST","Ataturk"
"Ucrania","Kiev","KBP","Borispol"
"Ucrania","Kiev","IEV","Zhulhany"
"Uruguay","Montevideo","MVD","Carrasco"
"USA","Orlando","MCO","International"
